x[m],y[m],z[m],t[s]
8.195542,17.449803,14.195095,0.850000
8.291960,17.595279,14.362096,0.860000
8.388378,17.739774,14.529097,0.870000
8.484796,17.883289,14.696099,0.880000
8.581215,18.025823,14.863100,0.890000
8.677633,18.167377,15.030101,0.900000
8.774051,18.307950,15.197102,0.910000
8.870469,18.447542,15.364103,0.920000
8.966887,18.586153,15.531104,0.930000
9.063305,18.723784,15.698105,0.940000
9.159723,18.860434,15.865106,0.950000
9.256142,18.996104,16.032107,0.960000
9.352560,19.130793,16.199109,0.970000
9.448978,19.264501,16.366110,0.980000
9.545396,19.397228,16.533111,0.990000
9.641814,19.528975,16.700112,1.000000
9.738232,19.659741,16.867113,1.010000
9.834650,19.789527,17.034114,1.020000
9.931069,19.918332,17.201115,1.030000
10.027487,20.046156,17.368116,1.040000
10.123905,20.172999,17.535118,1.050000
10.220323,20.298862,17.702119,1.060000
10.316741,20.423744,17.869120,1.070000
10.413159,20.547646,18.036121,1.080000
10.509577,20.670567,18.203122,1.090000
10.605996,20.792507,18.370123,1.100000
10.702414,20.913466,18.537124,1.110000
10.798832,21.033445,18.704125,1.120000
10.895250,21.152443,18.871127,1.130000
10.991668,21.270461,19.038128,1.140000
11.088086,21.387498,19.205129,1.150000
11.184504,21.503554,19.372130,1.160000
11.280923,21.618629,19.539131,1.170000
11.377341,21.732724,19.706132,1.180000
11.473759,21.845839,19.873133,1.190000
11.570177,21.957972,20.040134,1.200000
11.666595,22.069125,20.207135,1.210000
11.763013,22.179297,20.374137,1.220000
11.859431,22.288489,20.541138,1.230000
11.955850,22.396700,20.708139,1.240000
12.052268,22.503930,20.875140,1.250000
12.148686,22.610179,21.042141,1.260000
12.245104,22.715448,21.209142,1.270000
12.341522,22.819736,21.376143,1.280000
12.437940,22.923044,21.543144,1.290000
12.534358,23.025371,21.710146,1.300000
12.630777,23.126717,21.877147,1.310000
12.727195,23.227083,22.044148,1.320000
12.823613,23.326467,22.211149,1.330000
12.920031,23.424872,22.378150,1.340000
13.016449,23.522295,22.545151,1.350000
13.112867,23.618738,22.712152,1.360000
13.209285,23.714200,22.879153,1.370000
13.305704,23.808682,23.046155,1.380000
13.402122,23.902183,23.213156,1.390000
13.498540,23.994703,23.380157,1.400000
13.594958,24.086243,23.547158,1.410000
13.691376,24.176802,23.714159,1.420000
13.787794,24.266380,23.881160,1.430000
13.884212,24.354977,24.048161,1.440000
13.980631,24.442594,24.215162,1.450000
14.077049,24.529230,24.382163,1.460000
14.173467,24.614886,24.549165,1.470000
14.269885,24.699561,24.716166,1.480000
14.366303,24.783255,24.883167,1.490000
14.462721,24.865969,25.050168,1.500000
14.559139,24.947702,25.217169,1.510000
14.655558,25.028454,25.384170,1.520000
14.751976,25.108226,25.551171,1.530000
14.848394,25.187016,25.718172,1.540000
14.944812,25.264827,25.885174,1.550000
15.041230,25.341656,26.052175,1.560000
15.137648,25.417505,26.219176,1.570000
15.234066,25.492374,26.386177,1.580000
15.330484,25.566261,26.553178,1.590000
15.426903,25.639168,26.720179,1.600000
15.523321,25.711094,26.887180,1.610000
15.619739,25.782040,27.054181,1.620000
15.716157,25.852005,27.221183,1.630000
15.812575,25.920989,27.388184,1.640000
15.908993,25.988993,27.555185,1.650000
16.005411,26.056016,27.722186,1.660000
16.101830,26.122058,27.889187,1.670000
16.198248,26.187120,28.056188,1.680000
16.294666,26.251201,28.223189,1.690000
16.391084,26.314301,28.390190,1.700000
16.487502,26.376420,28.557191,1.710000
16.583920,26.437559,28.724193,1.720000
16.680338,26.497718,28.891194,1.730000
16.776757,26.556895,29.058195,1.740000
16.873175,26.615092,29.225196,1.750000
16.969593,26.672309,29.392197,1.760000
17.066011,26.728544,29.559198,1.770000
17.162429,26.783799,29.726199,1.780000
17.258847,26.838073,29.893200,1.790000
17.355265,26.891367,30.060202,1.800000
17.451684,26.943680,30.227203,1.810000
17.548102,26.995012,30.394204,1.820000
17.644520,27.045364,30.561205,1.830000
17.740938,27.094735,30.728206,1.840000
17.837356,27.143125,30.895207,1.850000
17.933774,27.190535,31.062208,1.860000
18.030192,27.236964,31.229209,1.870000
18.126611,27.282412,31.396211,1.880000
18.223029,27.326880,31.563212,1.890000
18.319447,27.370367,31.730213,1.900000
18.415865,27.412873,31.897214,1.910000
18.512283,27.454399,32.064215,1.920000
18.608701,27.494944,32.231216,1.930000
18.705119,27.534508,32.398217,1.940000
18.801538,27.573092,32.565218,1.950000
18.897956,27.610695,32.732219,1.960000
18.994374,27.647317,32.899221,1.970000
19.090792,27.682959,33.066222,1.980000
19.187210,27.717620,33.233223,1.990000
19.283628,27.751300,33.400224,2.000000
19.380046,27.784000,33.567225,2.010000
19.476465,27.815719,33.734226,2.020000
19.572883,27.846457,33.901227,2.030000
19.669301,27.876215,34.068228,2.040000
19.765719,27.904992,34.235230,2.050000
19.862137,27.932788,34.402231,2.060000
19.958555,27.959604,34.569232,2.070000
20.054973,27.985439,34.736233,2.080000
20.151392,28.010293,34.903234,2.090000
20.247810,28.034167,35.070235,2.100000
20.344228,28.057060,35.237236,2.110000
20.440646,28.078972,35.404237,2.120000
20.537064,28.099904,35.571239,2.130000
20.633482,28.119855,35.738240,2.140000
20.729900,28.138825,35.905241,2.150000
20.826319,28.156815,36.072242,2.160000
20.922737,28.173824,36.239243,2.170000
21.019155,28.189852,36.406244,2.180000
21.115573,28.204900,36.573245,2.190000
21.211991,28.218967,36.740246,2.200000
21.308409,28.232053,36.907247,2.210000
21.404827,28.244159,37.074249,2.220000
21.501246,28.255284,37.241250,2.230000
21.597664,28.265429,37.408251,2.240000
21.694082,28.274592,37.575252,2.250000
21.790500,28.282775,37.742253,2.260000
21.886918,28.289978,37.909254,2.270000
21.983336,28.296199,38.076255,2.280000
22.079754,28.301440,38.243256,2.290000
22.176173,28.305701,38.410258,2.300000
22.272591,28.308981,38.577259,2.310000
22.369009,28.311280,38.744260,2.320000
22.465427,28.312598,38.911261,2.330000
22.561845,28.312936,39.078262,2.340000
22.658263,28.312293,39.245263,2.350000
22.754681,28.310669,39.412264,2.360000
22.851100,28.308065,39.579265,2.370000
22.947518,28.304480,39.746267,2.380000
23.043936,28.299914,39.913268,2.390000
23.140354,28.294368,40.080269,2.400000
23.236772,28.287841,40.247270,2.410000
23.333190,28.280334,40.414271,2.420000
23.429608,28.271845,40.581272,2.430000
23.526027,28.262376,40.748273,2.440000
23.622445,28.251927,40.915274,2.450000
23.718863,28.240497,41.082275,2.460000
23.815281,28.228086,41.249277,2.470000
23.911699,28.214694,41.416278,2.480000
24.008117,28.200322,41.583279,2.490000
24.104535,28.184969,41.750280,2.500000
24.200954,28.168635,41.917281,2.510000
24.297372,28.151321,42.084282,2.520000
24.393790,28.133026,42.251283,2.530000
24.490208,28.113751,42.418284,2.540000
24.586626,28.093494,42.585286,2.550000
24.683044,28.072257,42.752287,2.560000
24.779462,28.050040,42.919288,2.570000
24.875880,28.026842,43.086289,2.580000
24.972299,28.002663,43.253290,2.590000
25.068717,27.977503,43.420291,2.600000
25.165135,27.951363,43.587292,2.610000
25.261553,27.924242,43.754293,2.620000
25.357971,27.896140,43.921294,2.630000
25.454389,27.867058,44.088296,2.640000
25.550807,27.836995,44.255297,2.650000
25.647226,27.805952,44.422298,2.660000
25.743644,27.773928,44.589299,2.670000
25.840062,27.740923,44.756300,2.680000
25.936480,27.706937,44.923301,2.690000
26.032898,27.671971,45.090302,2.700000
26.129316,27.636024,45.257303,2.710000
26.225734,27.599096,45.424305,2.720000
26.322153,27.561188,45.591306,2.730000
26.418571,27.522299,45.758307,2.740000
26.514989,27.482430,45.925308,2.750000
26.611407,27.441580,46.092309,2.760000
26.707825,27.399749,46.259310,2.770000
26.804243,27.356937,46.426311,2.780000
26.900661,27.313145,46.593312,2.790000
26.997080,27.268372,46.760314,2.800000
27.093498,27.222619,46.927315,2.810000
27.189916,27.175884,47.094316,2.820000
27.286334,27.128170,47.261317,2.830000
27.382752,27.079474,47.428318,2.840000
27.479170,27.029798,47.595319,2.850000
27.575588,26.979141,47.762320,2.860000
27.672007,26.927503,47.929321,2.870000
27.768425,26.874885,48.096322,2.880000
27.864843,26.821286,48.263324,2.890000
27.961261,26.766707,48.430325,2.900000
28.057679,26.711147,48.597326,2.910000
28.154097,26.654606,48.764327,2.920000
28.250515,26.597084,48.931328,2.930000
28.346934,26.538582,49.098329,2.940000
28.443352,26.479099,49.265330,2.950000
28.539770,26.418636,49.432331,2.960000
28.636188,26.357192,49.599333,2.970000
28.732606,26.294767,49.766334,2.980000
28.829024,26.231361,49.933335,2.990000
28.925442,26.166975,50.100336,3.000000
29.021861,26.101608,50.267337,3.010000
29.118279,26.035261,50.434338,3.020000
29.214697,25.967933,50.601339,3.030000
29.311115,25.899624,50.768340,3.040000
29.407533,25.830334,50.935342,3.050000
29.503951,25.760064,51.102343,3.060000
29.600369,25.688813,51.269344,3.070000
29.696788,25.616582,51.436345,3.080000
29.793206,25.543370,51.603346,3.090000
29.889624,25.469177,51.770347,3.100000
29.986042,25.394003,51.937348,3.110000
30.082460,25.317849,52.104349,3.120000
30.178878,25.240714,52.271350,3.130000
30.275296,25.162599,52.438352,3.140000
30.371715,25.083503,52.605353,3.150000
30.468133,25.003426,52.772354,3.160000
30.564551,24.922369,52.939355,3.170000
30.660969,24.840330,53.106356,3.180000
30.757387,24.757312,53.273357,3.190000
30.853805,24.673312,53.440358,3.200000
30.950223,24.588332,53.607359,3.210000
31.046642,24.502371,53.774361,3.220000
31.143060,24.415430,53.941362,3.230000
31.239478,24.327508,54.108363,3.240000
31.335896,24.238605,54.275364,3.250000
31.432314,24.148721,54.442365,3.260000
31.528732,24.057857,54.609366,3.270000
31.625150,23.966012,54.776367,3.280000
31.721569,23.873187,54.943368,3.290000
31.817987,23.779381,55.110370,3.300000
31.914405,23.684594,55.277371,3.310000
32.010823,23.588827,55.444372,3.320000
32.107241,23.492079,55.611373,3.330000
32.203659,23.394350,55.778374,3.340000
32.300077,23.295640,55.945375,3.350000
32.396496,23.195950,56.112376,3.360000
32.492914,23.095279,56.279377,3.370000
32.589332,22.993628,56.446378,3.380000
32.685750,22.890996,56.613380,3.390000
32.782168,22.787383,56.780381,3.400000
32.878586,22.682790,56.947382,3.410000
32.975004,22.577216,57.114383,3.420000
33.071423,22.470661,57.281384,3.430000
33.167841,22.363125,57.448385,3.440000
33.264259,22.254609,57.615386,3.450000
33.360677,22.145113,57.782387,3.460000
33.457095,22.034635,57.949389,3.470000
33.553513,21.923177,58.116390,3.480000
33.649931,21.810738,58.283391,3.490000
33.746350,21.697319,58.450392,3.500000
33.842768,21.582919,58.617393,3.510000
33.939186,21.467538,58.784394,3.520000
34.035604,21.351177,58.951395,3.530000
